order_id,customer_id,order_date,total_amount
1,5,2024-09-12,1499.00
2,12,2024-11-03,2899.50
3,33,2024-10-25,1899.99
4,7,2024-08-14,499.00
5,19,2025-01-01,2599.99
6,44,2024-12-09,1099.00
7,3,2024-07-21,2299.95
8,22,2024-09-01,3799.00
9,16,2024-10-18,699.00
10,9,2025-02-14,899.00
11,27,2024-11-11,3499.99
12,38,2025-01-22,1199.00
13,41,2024-12-30,2750.00
14,6,2025-03-05,1599.99
15,10,2024-10-10,1999.00
16,14,2025-04-12,4499.00
17,25,2025-05-08,850.00
18,29,2025-01-19,999.00
19,18,2024-07-29,2999.00
20,35,2025-06-01,3799.90
21,48,2024-09-18,1399.00
22,20,2024-11-28,2249.00
23,11,2024-10-10,749.00
24,13,2024-08-03,3199.00
25,40,2025-01-10,1949.00
26,36,2024-09-04,870.00
27,17,2024-12-25,4500.00
28,30,2024-10-21,1590.00
29,2,2024-11-05,1100.00
30,23,2024-07-11,999.00
31,46,2024-12-30,1289.00
32,4,2025-01-02,2950.00
33,32,2025-02-14,1760.00
34,39,2025-03-10,2150.00
35,15,2024-11-29,2999.99
36,24,2025-02-19,1425.00
37,8,2024-08-25,650.00
38,26,2025-01-12,2050.00
39,45,2024-09-17,3245.00
40,21,2025-03-20,1200.00
41,50,2025-04-01,1980.00
42,34,2024-10-15,1850.00
43,1,2025-02-05,1430.00
44,47,2024-11-03,960.00
45,28,2025-04-07,3770.00
46,43,2024-12-19,1100.00
47,37,2025-06-06,2800.00
48,31,2025-03-13,2199.00
49,42,2025-01-25,1320.00
50,49,2024-12-01,2450.00
51,12,2025-01-18,1890.00
52,7,2024-10-03,950.00
53,14,2025-02-25,1325.00
54,18,2024-09-09,2200.00
55,41,2025-05-15,3400.00
56,5,2024-08-30,680.00
57,22,2024-12-10,2750.00
58,35,2025-01-09,1940.00
59,10,2024-07-20,2499.00
60,45,2025-04-18,3250.00
61,8,2025-02-07,1750.00
62,30,2024-11-20,2990.00
63,29,2025-01-29,1630.00
64,19,2024-09-25,1099.00
65,31,2025-03-01,1380.00
66,9,2025-04-23,4200.00
67,24,2025-02-12,760.00
68,27,2024-10-16,2800.00
69,6,2025-05-06,1545.00
70,26,2025-03-21,1965.00
71,3,2025-06-09,1750.00
72,33,2025-02-01,2180.00
73,40,2024-09-07,899.00
74,46,2025-01-17,1666.00
75,21,2024-11-30,1450.00
76,17,2025-05-02,1220.00
77,44,2024-10-28,2333.00
78,11,2025-06-03,1930.00
79,25,2025-02-09,2950.00
80,13,2024-12-14,1050.00
81,16,2025-02-24,2650.00
82,20,2024-09-14,1899.00
83,43,2025-05-19,970.00
84,4,2024-08-18,1530.00
85,38,2025-03-11,3200.00
86,48,2025-04-02,1125.00
87,1,2024-10-09,850.00
88,39,2025-01-05,2100.00
89,28,2024-12-21,1490.00
90,36,2025-04-26,2640.00
91,2,2025-02-06,990.00
92,50,2025-03-28,3600.00
93,32,2024-09-23,1855.00
94,19,2025-06-01,1444.00
95,23,2025-01-27,2450.00
96,7,2024-08-04,1260.00
97,47,2025-04-15,1740.00
98,6,2024-12-05,2670.00
99,10,2025-03-08,3150.00
100,5,2024-10-12,1580.00
101,42,2025-01-14,1425.00
102,34,2024-11-19,2399.00
103,22,2025-05-25,950.00
104,26,2024-09-30,1870.00
105,8,2024-10-06,1680.00
106,18,2025-02-22,1100.00
107,14,2025-03-31,1995.00
108,3,2025-01-11,2850.00
109,12,2024-11-15,780.00
110,37,2025-06-06,1549.00
